Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's imports from Türkiye,,,,,Türkiye's exports to world,,,,,,Morocco's imports from world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",57908,54332,45849,30555,,,7515499,8464898,8037378,7384384,6775489,,260213,251152,262263,239459,
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,16957,14168,10763,10377,,,2895118,2771616,2288065,2215979,2214328,,182492,143222,179758,216999,
'64,"Footwear, gaiters and the like; parts of such articles",26477,23413,27301,22698,,,1081892,1310742,1268591,1161601,1008596,,288252,310285,315997,284225,
'65,Headgear and parts thereof,2358,2078,1769,1653,,,67291,104897,94302,139165,108957,,16298,18279,34226,20765,
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",168,578,598,748,,,11499,15055,13070,13578,13123,,3978,6253,6501,6308,
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,451,254,167,164,,,6914,9434,10533,8411,7898,,4650,6018,5530,7300,
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",30058,31382,34351,41629,,,1861430,2090195,1923621,2030144,2215721,,250189,270452,275901,298975,
'69,Ceramic products,20594,29879,24672,34014,,,1616311,1858570,1384254,1380163,1296913,,330115,308959,316462,368327,
'70,Glass and glassware,32557,38954,28048,30805,,,1357757,1626212,1651138,1573844,1548959,,289687,380228,361203,390262,
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",44887,39818,72169,37521,,,10962200,10206426,13646812,13028652,13367042,,101159,95537,130626,174147,
'72,Iron and steel,447258,617686,286115,316675,,,17075722,14628379,8860174,10182634,10738054,,1652674,1952792,1806444,2065168,
'73,Articles of iron or steel,164620,203502,379273,253233,,,8802347,10535543,10051285,9812416,9703899,,998133,1217466,1461613,1559317,
'74,Copper and articles thereof,6129,8727,16363,21428,,,2599898,2663298,2497777,2933849,3768379,,761941,899119,985932,1144348,
'75,Nickel and articles thereof,1,0,63,194,,,141411,194608,196909,213152,86535,,2269,3720,5510,7700,
'76,Aluminium and articles thereof,41090,39568,29704,36092,,,5173743,6708092,5317293,5225591,5583033,,808607,1056444,973273,1099314,
